Gene	Estimate	SE	P.Wald	P.LRT	P.Score
959	SEMA6D	13.643	535.411	0.98	0.227	0.3
960	STRADB	13.644	535.411	0.98	0.227	0.3
961	TCN1	-13.643	535.411	0.98	0.227	0.3
962	TRBV21OR9-2	-13.643	535.411	0.98	0.227	0.3
963	TRIM45	13.643	535.411	0.98	0.227	0.3
964	WDR64	-13.643	535.411	0.98	0.227	0.3
965	WDR83	13.643	535.411	0.98	0.227	0.3
966	ZNF548	13.644	535.411	0.98	0.227	0.3
967	ABT1	-13.638	535.411	0.98	0.228	0.301
968	AC020907.1	13.639	535.411	0.98	0.228	0.301
969	ARL14EPL	-13.638	535.411	0.98	0.228	0.301
970	ASPG	13.64	535.411	0.98	0.228	0.302
971	BAK1	13.635	535.411	0.98	0.228	0.302
972	BLOC1S2	-13.644	535.411	0.98	0.228	0.302
973	C10orf107	-13.639	535.411	0.98	0.228	0.301
974	C12orf55	-13.64	535.411	0.98	0.228	0.302
975	CAMK4	13.64	535.411	0.98	0.228	0.301
976	CEACAM1	-13.638	535.411	0.98	0.228	0.301
977	CHTF18	-13.635	535.411	0.98	0.228	0.302
978	CRYGN	13.635	535.411	0.98	0.228	0.302
979	CTTNBP2	13.64	535.411	0.98	0.228	0.302
980	CYP4Z1	-13.644	535.411	0.98	0.228	0.302
981	DHX57	-13.638	535.411	0.98	0.228	0.301
982	DLAT	-13.644	535.411	0.98	0.228	0.302
983	DOK3	13.639	535.411	0.98	0.228	0.301
984	DSG1	13.636	535.411	0.98	0.228	0.302
985	DTHD1	-13.641	535.411	0.98	0.228	0.301
986	EDAR	13.636	535.411	0.98	0.228	0.302
987	EIF4EBP2	13.64	535.411	0.98	0.228	0.302
988	EPG5	-13.64	535.411	0.98	0.228	0.302
989	EXT2	13.644	535.411	0.98	0.228	0.301
990	FAM188B	-13.644	535.411	0.98	0.228	0.301
991	FAM64A	13.64	535.411	0.98	0.228	0.301
992	FAM98B	-13.638	535.411	0.98	0.228	0.302
993	GANC	13.635	535.411	0.98	0.228	0.302
994	GLRA3	13.644	535.411	0.98	0.228	0.301
995	GNL3	-13.644	535.411	0.98	0.228	0.301
996	GTF3A	13.64	535.411	0.98	0.228	0.301
997	IL36A	-13.638	535.411	0.98	0.228	0.302
998	LARP1	13.636	535.411	0.98	0.228	0.302
999	LINC00692	13.64	535.411	0.98	0.228	0.302
1000	LLPH	-13.638	535.411	0.98	0.228	0.302
1001	LRRC3C	-13.638	535.411	0.98	0.228	0.301
1002	LTBP2	13.64	535.411	0.98	0.228	0.302
1003	MAGEB1	-13.641	535.411	0.98	0.228	0.301
1004	MEGF10	-13.64	535.411	0.98	0.228	0.302
1005	MIEF2	-13.644	535.411	0.98	0.228	0.301
1006	MMRN2	-13.64	535.411	0.98	0.228	0.302
1007	MRPL46	-13.635	535.411	0.98	0.228	0.302
1008	MYH7	-13.638	535.411	0.98	0.228	0.302
1009	MYO18B	13.64	535.411	0.98	0.228	0.301
1010	NOM1	13.644	535.411	0.98	0.228	0.301
1011	OR2A14	13.639	535.411	0.98	0.228	0.301
1012	OR4X2	13.636	535.411	0.98	0.228	0.302
1013	OR56A3	13.644	535.411	0.98	0.228	0.301
1014	OR5M11	0.299	0.249	0.23	0.228	0.228
1015	PHB2	-13.638	535.411	0.98	0.228	0.301
1016	POLK	-13.64	535.411	0.98	0.228	0.302
1017	PRKRIP1	-13.638	535.411	0.98	0.228	0.302
1018	RBBP8	-13.635	535.411	0.98	0.228	0.302
1019	RP11-113D6.10	13.64	535.411	0.98	0.228	0.301
1020	SLC22A16	13.636	535.411	0.98	0.228	0.302
1021	SRR	13.636	535.411	0.98	0.228	0.302
1022	TC2N	13.644	535.411	0.98	0.228	0.301
1023	TDRD12	-13.64	535.411	0.98	0.228	0.302
1024	TIGD7	-13.638	535.411	0.98	0.228	0.301
1025	TMEM182	13.639	535.411	0.98	0.228	0.301
1026	TRBV29-1	-13.65	535.411	0.98	0.228	0.301
1027	TTC4	-13.641	535.411	0.98	0.228	0.301
1028	UNC50	13.635	535.411	0.98	0.228	0.302
1029	XPOT	-13.635	535.411	0.98	0.228	0.302
1030	YARS2	13.636	535.411	0.98	0.228	0.302
1031	ZBTB40	13.64	535.411	0.98	0.228	0.301
1032	ZNF3	-13.641	535.411	0.98	0.228	0.301
1033	ZNF610	13.639	535.411	0.98	0.228	0.301
1034	ADPRHL1	13.639	535.411	0.98	0.229	0.302
1035	ALMS1	13.633	535.411	0.98	0.229	0.303
1036	ANKRD16	-13.633	535.411	0.98	0.229	0.302
1037	ANKRD44	-13.632	535.411	0.98	0.229	0.303
1038	APOBEC3A	13.627	535.411	0.98	0.229	0.304
1039	ARV1	13.639	535.411	0.98	0.229	0.302
1040	ASCC3	-13.638	535.411	0.98	0.229	0.303
1041	BIRC7	13.636	535.411	0.98	0.229	0.302
1042	C10orf76	13.63	535.411	0.98	0.229	0.303
1043	C12orf79	13.641	535.411	0.98	0.229	0.302
1044	C14orf132	13.636	535.411	0.98	0.229	0.302
1045	C21orf62	-13.639	535.411	0.98	0.229	0.303
1046	CALHM1	13.627	535.411	0.98	0.229	0.304
1047	CCDC116	13.641	535.411	0.98	0.229	0.302
1048	CCDC137	-13.639	535.411	0.98	0.229	0.303
1049	CEACAM18	-13.633	535.411	0.98	0.229	0.302
1050	CEP170P1	-13.636	535.411	0.98	0.229	0.303
1051	COL18A1	13.627	535.411	0.98	0.229	0.304
1052	COL4A4	13.641	535.411	0.98	0.229	0.302
1053	CRTC1	13.64	535.411	0.98	0.229	0.302
1054	CSTA	13.626	535.411	0.98	0.229	0.303
1055	CYP4X1	13.636	535.411	0.98	0.229	0.302
1056	DEFB131	13.636	535.411	0.98	0.229	0.302
1057	DNAH1	13.64	535.411	0.98	0.229	0.302
1058	EDC3	-13.639	535.411	0.98	0.229	0.303
1059	ELOVL2	13.637	535.411	0.98	0.229	0.302
1060	ENDOD1	-13.632	535.411	0.98	0.229	0.303
1061	FAM194B	-13.638	535.411	0.98	0.229	0.303
1062	FBXO24	-13.636	535.411	0.98	0.229	0.303
1063	FGFR1OP2	-13.63	535.411	0.98	0.229	0.303
1064	GPR179	-13.632	535.411	0.98	0.229	0.303
1065	GSTM3	13.63	535.411	0.98	0.229	0.303
1066	HEATR2	-13.63	535.411	0.98	0.229	0.303
1067	IL20	13.639	535.411	0.98	0.229	0.302
1068	IL32	-13.63	535.411	0.98	0.229	0.303
1069	INO80E	-13.633	535.411	0.98	0.229	0.302
1070	ITIH6	13.641	535.411	0.98	0.229	0.302
1071	KATNAL2	13.639	535.411	0.98	0.229	0.302
1072	KCNRG	-13.63	535.411	0.98	0.229	0.303
1073	KCNU1	13.634	535.411	0.98	0.229	0.303
1074	KIF15	-13.638	535.411	0.98	0.229	0.303
1075	L3MBTL1	13.641	535.411	0.98	0.229	0.302
1076	LDHA	13.639	535.411	0.98	0.229	0.302
1077	LOXL4	13.63	535.411	0.98	0.229	0.303
1078	MARK3	-13.632	535.411	0.98	0.229	0.303
1079	MOXD1	13.639	535.411	0.98	0.229	0.302
1080	MTIF3	-13.639	535.411	0.98	0.229	0.303
1081	NAPEPLD	13.634	535.411	0.98	0.229	0.303
1082	ODAM	-13.632	535.411	0.98	0.229	0.303
1083	OR2D2	-13.638	535.411	0.98	0.229	0.303
1084	PARP3	13.639	535.411	0.98	0.229	0.302
1085	PGM3	-13.63	535.411	0.98	0.229	0.303
1086	PKD2L2	-13.632	535.411	0.98	0.229	0.303
1087	PLCB4	13.636	535.411	0.98	0.229	0.302
1088	PLIN1	-13.63	535.411	0.98	0.229	0.303
1089	PREB	13.634	535.411	0.98	0.229	0.303
1090	PTPN5	13.633	535.411	0.98	0.229	0.303
1091	PUS10	-13.63	535.411	0.98	0.229	0.303
1092	RAD9B	-13.633	535.411	0.98	0.229	0.302
1093	RERGL	13.633	535.411	0.98	0.229	0.303
1094	RTDR1	13.639	535.411	0.98	0.229	0.302
1095	SAP30	13.626	535.411	0.98	0.229	0.303
1096	SECISBP2L	13.634	535.411	0.98	0.229	0.303
1097	SEMA3G	13.634	535.411	0.98	0.229	0.303
1098	SLC17A9	13.641	535.411	0.98	0.229	0.302
1099	SLC25A26	13.64	535.411	0.98	0.229	0.302
1100	SOX30	6.82	267.706	0.98	0.229	0.302
1101	SPAG11B	13.627	535.411	0.98	0.229	0.304
1102	SPDYA	-13.638	535.411	0.98	0.229	0.303
1103	SPG20	-13.638	535.411	0.98	0.229	0.303
1104	STK3	-13.638	535.411	0.98	0.229	0.303
1105	SYNPR	13.627	535.411	0.98	0.229	0.304
1106	TACR2	13.63	535.411	0.98	0.229	0.303
1107	TEX19	13.63	535.411	0.98	0.229	0.303
1108	TNFRSF12A	-13.633	535.411	0.98	0.229	0.302
1109	ZNF333	13.627	535.411	0.98	0.229	0.304
1110	ZNF646	13.627	535.411	0.98	0.229	0.304
1111	AGBL3	13.622	535.411	0.98	0.23	0.305
1112	AMDHD1	13.622	535.411	0.98	0.23	0.305
1113	ARAP2	-13.628	535.411	0.98	0.23	0.304
1114	ARL13A	13.628	535.411	0.98	0.23	0.305
1115	BACH1	-13.632	535.411	0.98	0.23	0.304
1116	C2orf68	13.629	535.411	0.98	0.23	0.304
1117	CCL28	-13.63	535.411	0.98	0.23	0.304
1118	CECR1	13.622	535.411	0.98	0.23	0.305
1119	CHRNB3	-13.621	535.411	0.98	0.23	0.305
1120	CLCNKA	-13.628	535.411	0.98	0.23	0.304
1121	CLDN18	13.622	535.411	0.98	0.23	0.305
1122	COMMD9	13.622	535.411	0.98	0.23	0.305
1123	CPSF1	13.628	535.411	0.98	0.23	0.305
1124	CYB561D1	13.629	535.411	0.98	0.23	0.304
1125	DCAF8L1	13.622	535.411	0.98	0.23	0.305
1126	DDX42	-13.632	535.411	0.98	0.23	0.305
1127	ECT2L	0.967	0.848	0.254	0.23	0.237
1128	EIF2A	13.622	535.411	0.98	0.23	0.305
1129	FAM71C	-13.621	535.411	0.98	0.23	0.305
1130	FSHR	13.622	535.411	0.98	0.23	0.305
1131	HAUS4	13.628	535.411	0.98	0.23	0.305
1132	HBE1	13.622	535.411	0.98	0.23	0.305
1133	IGF1	-13.632	535.411	0.98	0.23	0.305
1134	KIF9	-13.628	535.411	0.98	0.23	0.304
1135	LINC01118	-13.632	535.411	0.98	0.23	0.304
1136	MPHOSPH6	-13.628	535.411	0.98	0.23	0.304
1137	OR4C3	-0.962	0.843	0.254	0.23	0.237
1138	OR4N2	-13.621	535.411	0.98	0.23	0.305
1139	PCDHA7	-13.627	535.411	0.98	0.23	0.304
1140	PEX3	13.628	535.411	0.98	0.23	0.305
1141	PPFIBP2	13.622	535.411	0.98	0.23	0.305
1142	PWP1	-13.628	535.411	0.98	0.23	0.304
1143	SHISA6	-13.621	535.411	0.98	0.23	0.305
1144	SLC6A4	-13.632	535.411	0.98	0.23	0.305
1145	SSFA2	13.628	535.411	0.98	0.23	0.305
1146	SYNE4	13.622	535.411	0.98	0.23	0.305
1147	TBC1D32	-13.628	535.411	0.98	0.23	0.304
1148	TRIM59	13.622	535.411	0.98	0.23	0.305
1149	TTC14	13.629	535.411	0.98	0.23	0.304
1150	UGT3A1	13.622	535.411	0.98	0.23	0.305
1151	USP6	13.628	535.411	0.98	0.23	0.305
1152	ZFYVE26	-13.627	535.411	0.98	0.23	0.304
1153	ZNF354C	-13.63	535.411	0.98	0.23	0.304
1154	ADPRM	-13.619	535.411	0.98	0.231	0.305
1155	ALKBH1	13.619	535.411	0.98	0.231	0.306
1156	ALOX12B	13.618	535.411	0.98	0.231	0.306
1157	C17orf47	-13.619	535.411	0.98	0.231	0.305
1158	CDH19	13.618	535.411	0.98	0.231	0.306
1159	CREB3L4	-13.619	535.411	0.98	0.231	0.305
1160	DNM1	-13.617	535.411	0.98	0.231	0.306
1161	DOCK8	-13.617	535.411	0.98	0.231	0.306
1162	EMR1	-13.619	535.411	0.98	0.231	0.305
1163	GNAT3	-13.619	535.411	0.98	0.231	0.305
1164	HAMP	13.621	535.411	0.98	0.231	0.305
1165	HSPG2	13.621	535.411	0.98	0.231	0.305
1166	IFIT1	13.619	535.411	0.98	0.231	0.306
1167	KIAA0907	-0.511	0.433	0.238	0.231	0.234
1168	KRTAP22-1	-13.619	535.411	0.98	0.231	0.305
1169	LCA5	-13.617	535.411	0.98	0.231	0.306
1170	LINC00955	-0.244	0.204	0.232	0.231	0.232
1171	MKI67	0.395	0.333	0.235	0.231	0.232
1172	MXRA7	13.618	535.411	0.98	0.231	0.306
1173	MYO1C	-13.619	535.411	0.98	0.231	0.305
1174	NMD3	13.619	535.411	0.98	0.231	0.306
1175	OR2V1	-13.619	535.411	0.98	0.231	0.305
1176	SESN2	13.618	535.411	0.98	0.231	0.306
1177	SPDL1	13.62	535.411	0.98	0.231	0.305
1178	ST8SIA5	13.62	535.411	0.98	0.231	0.305
1179	TARS	13.618	535.411	0.98	0.231	0.306
1180	TMPRSS2	13.621	535.411	0.98	0.231	0.305
1181	TSPEAR	-13.617	535.411	0.98	0.231	0.306
1182	UGT1A9	-13.619	535.411	0.98	0.231	0.305
1183	ZNF37A	13.62	535.411	0.98	0.231	0.305
1184	ZNF584	13.619	535.411	0.98	0.231	0.306
1185	ABCC4	-13.618	535.411	0.98	0.232	0.307
1186	ACRBP	-13.615	535.411	0.98	0.232	0.307
1187	ADHFE1	13.615	535.411	0.98	0.232	0.307
1188	ASCL3	-13.618	535.411	0.98	0.232	0.307
1189	BBOX1	-13.621	535.411	0.98	0.232	0.307
1190	C20orf96	-13.621	535.411	0.98	0.232	0.307
1191	CCNE1	-13.618	535.411	0.98	0.232	0.307
1192	CDK15	-13.615	535.411	0.98	0.232	0.307
1193	CELA3B	13.615	535.411	0.98	0.232	0.307
1194	CHPF2	-13.615	535.411	0.98	0.232	0.307
1195	CST9	-13.613	535.411	0.98	0.232	0.307
1196	DPY19L2P2	13.615	535.411	0.98	0.232	0.307
1197	EHHADH	13.622	535.411	0.98	0.232	0.307
1198	FGA	-13.617	535.411	0.98	0.232	0.307
1199	FUT11	13.617	535.411	0.98	0.232	0.308
1200	GIMAP7	13.622	535.411	0.98	0.232	0.307
1201	HAL	-13.615	535.411	0.98	0.232	0.307
1202	HFE	13.615	535.411	0.98	0.232	0.307
1203	HK1	-13.615	535.411	0.98	0.232	0.307
1204	IGLL5	-13.615	535.411	0.98	0.232	0.307
1205	ITGAL	-13.615	535.411	0.98	0.232	0.307
1206	KCNK18	-13.613	535.411	0.98	0.232	0.307
1207	KPNA7	-13.615	535.411	0.98	0.232	0.307
1208	KRT27	-13.617	535.411	0.98	0.232	0.307
1209	METTL20	1.316	1.187	0.268	0.232	0.24
1210	MTHFD2L	13.615	535.411	0.98	0.232	0.307
1211	MYLK	13.617	535.411	0.98	0.232	0.308
1212	MYO7B	-13.618	535.411	0.98	0.232	0.307
1213	NSMCE2	-13.617	535.411	0.98	0.232	0.307
1214	OR2H2	-13.621	535.411	0.98	0.232	0.307
1215	OSGIN2	13.615	535.411	0.98	0.232	0.307
1216	OTOA	13.617	535.411	0.98	0.232	0.308
1217	PCDH12	-13.618	535.411	0.98	0.232	0.307
1218	PLEKHB2	13.617	535.411	0.98	0.232	0.308
1219	POLG	-13.618	535.411	0.98	0.232	0.307
1220	PPOX	13.615	535.411	0.98	0.232	0.307
1221	PRCP	-13.618	535.411	0.98	0.232	0.307
1222	RASGRP2	13.622	535.411	0.98	0.232	0.307
1223	SCTR	-13.615	535.411	0.98	0.232	0.307
1224	SLC25A12	-13.613	535.411	0.98	0.232	0.307
1225	TCP11L2	13.615	535.411	0.98	0.232	0.307
1226	TOX3	-13.618	535.411	0.98	0.232	0.307
1227	TRBV6-4	-13.615	535.411	0.98	0.232	0.307
1228	TRUB2	-13.615	535.411	0.98	0.232	0.307
1229	UBASH3A	-13.613	535.411	0.98	0.232	0.307
1230	UROC1	-13.618	535.411	0.98	0.232	0.307
1231	VN1R1	-13.621	535.411	0.98	0.232	0.307
1232	WHSC1	-13.615	535.411	0.98	0.232	0.307
1233	ZNF561	-13.613	535.411	0.98	0.232	0.307
1234	AIF1	13.612	535.411	0.98	0.233	0.309
1235	AIM2	13.602	535.411	0.98	0.233	0.309
1236	AL136218.1	13.609	535.411	0.98	0.233	0.309
1237	BCS1L	13.606	535.411	0.98	0.233	0.309
1238	CALCR	-13.608	535.411	0.98	0.233	0.308
1239	CCDC110	13.609	535.411	0.98	0.233	0.309
1240	CCDC166	13.602	535.411	0.98	0.233	0.309
1241	CEP72	13.606	535.411	0.98	0.233	0.309
1242	CTAGE5	13.602	535.411	0.98	0.233	0.309
1243	DGKI	13.603	535.411	0.98	0.233	0.309
1244	DTX2	-13.606	535.411	0.98	0.233	0.309
1245	EARS2	13.602	535.411	0.98	0.233	0.309
1246	ENKUR	-13.608	535.411	0.98	0.233	0.309
1247	EP400	-13.61	535.411	0.98	0.233	0.308
1248	ERCC1	13.606	535.411	0.98	0.233	0.309
1249	FAM133B	13.602	535.411	0.98	0.233	0.309
1250	FAM155B	13.602	535.411	0.98	0.233	0.309
1251	FBXO10	-13.606	535.411	0.98	0.233	0.309
1252	GLIS3	-6.803	267.706	0.98	0.233	0.309
1253	HAUS5	13.606	535.411	0.98	0.233	0.309
1254	HKR1	13.607	535.411	0.98	0.233	0.308
1255	IL20RA	-13.61	535.411	0.98	0.233	0.308
1256	ITIH1	13.603	535.411	0.98	0.233	0.309
1257	LGALS14	-13.608	535.411	0.98	0.233	0.308
1258	MBLAC2	13.603	535.411	0.98	0.233	0.309
1259	MEPE	13.606	535.411	0.98	0.233	0.309
1260	METTL12	-13.61	535.411	0.98	0.233	0.308
1261	OR10T2	13.603	535.411	0.98	0.233	0.309
1262	PDHA1	13.606	535.411	0.98	0.233	0.309
1263	PDK3	-13.606	535.411	0.98	0.233	0.309
1264	PHLDB2	-13.608	535.411	0.98	0.233	0.308
1265	PIWIL4	13.606	535.411	0.98	0.233	0.309
1266	PNPLA6	13.602	535.411	0.98	0.233	0.309
1267	RAB25	13.612	535.411	0.98	0.233	0.309
1268	RASGRP4	13.602	535.411	0.98	0.233	0.309
1269	RBM19	-13.606	535.411	0.98	0.233	0.309
1270	RNF10	13.607	535.411	0.98	0.233	0.308
1271	ROS1	13.602	535.411	0.98	0.233	0.309
1272	SEMG1	13.607	535.411	0.98	0.233	0.308
1273	SLC16A13	-13.606	535.411	0.98	0.233	0.309
1274	SLC17A2	-13.608	535.411	0.98	0.233	0.308
1275	SLC23A3	13.607	535.411	0.98	0.233	0.308
1276	SLC25A46	13.612	535.411	0.98	0.233	0.309
1277	SLCO2B1	13.606	535.411	0.98	0.233	0.309
1278	SLCO4A1	13.607	535.411	0.98	0.233	0.308
1279	SMC4	13.609	535.411	0.98	0.233	0.309
1280	SPDYE1	13.607	535.411	0.98	0.233	0.308
1281	TBRG1	13.606	535.411	0.98	0.233	0.309
1282	TDP2	-13.61	535.411	0.98	0.233	0.308
1283	TEX101	13.603	535.411	0.98	0.233	0.309
1284	TMEM199	13.606	535.411	0.98	0.233	0.309
1285	TMEM229A	-13.606	535.411	0.98	0.233	0.309
1286	TSLP	13.606	535.411	0.98	0.233	0.309
1287	TXLNB	13.609	535.411	0.98	0.233	0.309
1288	UBE3C	13.602	535.411	0.98	0.233	0.309
1289	WDR74	13.606	535.411	0.98	0.233	0.309
1290	ZBTB45	13.607	535.411	0.98	0.233	0.308
1291	ZNF267	13.606	535.411	0.98	0.233	0.309
1292	ZNF780A	13.609	535.411	0.98	0.233	0.309
1293	ACTBL2	-13.602	535.411	0.98	0.234	0.31
1294	ANKRD30B	-13.603	535.411	0.98	0.234	0.311
1295	ANKS1A	-13.606	535.411	0.98	0.234	0.31
1296	BCAS4	-13.601	535.411	0.98	0.234	0.31
1297	CHAF1B	-13.601	535.411	0.98	0.234	0.31
1298	CKM	-13.603	535.411	0.98	0.234	0.311
1299	COL13A1	-13.601	535.411	0.98	0.234	0.31
1300	COL24A1	-13.603	535.411	0.98	0.234	0.311
1301	CT45A5	-13.6	535.411	0.98	0.234	0.311
1302	CWF19L2	-13.601	535.411	0.98	0.234	0.31
1303	DSN1	-13.599	535.411	0.98	0.234	0.31
1304	DZIP1L	-13.599	535.411	0.98	0.234	0.31
1305	FKBP14	-13.6	535.411	0.98	0.234	0.311
1306	FLRT2	-13.599	535.411	0.98	0.234	0.31
1307	GPRIN2	-13.6	535.411	0.98	0.234	0.311
1308	HEATR1	-13.599	535.411	0.98	0.234	0.31
1309	IL4I1	-13.6	535.411	0.98	0.234	0.311
1310	INSC	-13.601	535.411	0.98	0.234	0.31
1311	IPP	-13.603	535.411	0.98	0.234	0.311
1312	ITIH3	-13.606	535.411	0.98	0.234	0.31
1313	KIAA0196	-13.6	535.411	0.98	0.234	0.311
1314	KIAA1328	-13.6	535.411	0.98	0.234	0.311
1315	LMF1	-13.602	535.411	0.98	0.234	0.31
1316	MCF2L	-13.599	535.411	0.98	0.234	0.31
1317	MELK	-13.602	535.411	0.98	0.234	0.31
1318	MS4A8	-13.599	535.411	0.98	0.234	0.31
1319	NOX5	-13.599	535.411	0.98	0.234	0.31
1320	PAQR5	-13.6	535.411	0.98	0.234	0.311
1321	PLD6	-13.606	535.411	0.98	0.234	0.31
1322	RIOK2	-13.599	535.411	0.98	0.234	0.31
1323	ROR1	-13.599	535.411	0.98	0.234	0.31
1324	RPAP1	-13.602	535.411	0.98	0.234	0.31
1325	STEAP2	-13.603	535.411	0.98	0.234	0.311
1326	TBCE	-13.602	535.411	0.98	0.234	0.31
1327	TBPL2	-13.603	535.411	0.98	0.234	0.311
1328	TEX22	-13.599	535.411	0.98	0.234	0.31
1329	TPD52L3	0.567	0.485	0.242	0.234	0.237
1330	TREM2	-13.606	535.411	0.98	0.234	0.31
1331	VWA8	-13.602	535.411	0.98	0.234	0.31
1332	ZBTB5	-13.6	535.411	0.98	0.234	0.311
1333	ZFP91	0.572	0.488	0.242	0.234	0.236
1334	A4GALT	13.592	535.411	0.98	0.235	0.312
1335	ACAD9	-13.599	535.411	0.98	0.235	0.312
1336	ADAM15	-13.596	535.411	0.98	0.235	0.311
1337	ADAMTS14	-13.596	535.411	0.98	0.235	0.311
1338	ALG3	-13.596	535.411	0.98	0.235	0.311
1339	ALPI	-13.596	535.411	0.98	0.235	0.311
1340	ANO4	13.594	535.411	0.98	0.235	0.311
1341	ARMC8	-13.598	535.411	0.98	0.235	0.312
1342	AXDND1	-13.593	535.411	0.98	0.235	0.312
1343	BIRC8	-13.599	535.411	0.98	0.235	0.312
1344	C15orf62	-13.594	535.411	0.98	0.235	0.311
1345	C5	-13.596	535.411	0.98	0.235	0.311
1346	CARD6	0.428	0.364	0.239	0.235	0.236
1347	CEACAM16	-13.591	535.411	0.98	0.235	0.312
1348	CERKL	-13.598	535.411	0.98	0.235	0.312
1349	CLIP1	-13.598	535.411	0.98	0.235	0.311
1350	CPSF2	-13.591	535.411	0.98	0.235	0.312
1351	DDI2	-13.598	535.411	0.98	0.235	0.311
1352	DEFB112	-13.599	535.411	0.98	0.235	0.312
1353	DLL3	13.596	535.411	0.98	0.235	0.311
1354	EVC	-13.605	535.411	0.98	0.235	0.312
1355	FAM160B2	-13.598	535.411	0.98	0.235	0.311
1356	FZD10	-13.594	535.411	0.98	0.235	0.311
1357	GGT6	13.594	535.411	0.98	0.235	0.312
1358	GRK1	-13.591	535.411	0.98	0.235	0.312
1359	IGHMBP2	13.596	535.411	0.98	0.235	0.312
1360	ITGB3	-13.605	535.411	0.98	0.235	0.312
1361	IZUMO3	-13.591	535.411	0.98	0.235	0.312
1362	KCTD21	-13.594	535.411	0.98	0.235	0.311
1363	KIF13B	13.596	535.411	0.98	0.235	0.312
1364	MFNG	-13.599	535.411	0.98	0.235	0.312
1365	MIER2	-13.598	535.411	0.98	0.235	0.311
1366	MPP4	-13.591	535.411	0.98	0.235	0.312
1367	MTHFD1	13.592	535.411	0.98	0.235	0.312
1368	MYH13	13.592	535.411	0.98	0.235	0.312
1369	NALCN	-13.599	535.411	0.98	0.235	0.312
1370	NARG2	-13.605	535.411	0.98	0.235	0.312
1371	NDUFB9	-13.605	535.411	0.98	0.235	0.312
1372	NPIPB15	13.594	535.411	0.98	0.235	0.311
1373	NUP107	13.596	535.411	0.98	0.235	0.311
1374	OPRK1	-13.594	535.411	0.98	0.235	0.311
1375	PEX11A	-13.591	535.411	0.98	0.235	0.312
1376	PLSCR4	-13.596	535.411	0.98	0.235	0.311
1377	POPDC2	-13.599	535.411	0.98	0.235	0.312
1378	PPAN	13.596	535.411	0.98	0.235	0.311
1379	PRX	13.592	535.411	0.98	0.235	0.312
1380	PSMB4	13.592	535.411	0.98	0.235	0.312
1381	RBMXL3	-13.598	535.411	0.98	0.235	0.311
1382	RCE1	-13.605	535.411	0.98	0.235	0.312
1383	RP11-796G6.2	13.594	535.411	0.98	0.235	0.312
1384	SLC17A1	-13.599	535.411	0.98	0.235	0.312
1385	SLC39A7	13.596	535.411	0.98	0.235	0.311
1386	SLC6A19	13.594	535.411	0.98	0.235	0.311
1387	SPATC1	-13.599	535.411	0.98	0.235	0.312
1388	SRBD1	-13.598	535.411	0.98	0.235	0.311
1389	SUCO	13.592	535.411	0.98	0.235	0.312
1390	TDRD6	-13.591	535.411	0.98	0.235	0.312
1391	TRIM6	-13.598	535.411	0.98	0.235	0.311
1392	TRMT10B	0.954	0.844	0.259	0.235	0.242
1393	TTC37	-13.596	535.411	0.98	0.235	0.311
1394	VSIG1	13.594	535.411	0.98	0.235	0.311
1395	ZCRB1	-13.599	535.411	0.98	0.235	0.312
1396	ZNF732	13.594	535.411	0.98	0.235	0.312
1397	ADAM30	-13.587	535.411	0.98	0.236	0.313
1398	ALAS1	-13.602	535.411	0.98	0.236	0.313
1399	ANGEL2	13.588	535.411	0.98	0.236	0.313
1400	ANK2	13.593	535.411	0.98	0.236	0.312
1401	APOL5	13.59	535.411	0.98	0.236	0.312
1402	ASNSD1	-13.602	535.411	0.98	0.236	0.313
1403	C17orf67	13.588	535.411	0.98	0.236	0.313
1404	CCDC38	-13.59	535.411	0.98	0.236	0.313
1405	CCNB1	-13.592	535.411	0.98	0.236	0.313
1406	CLDN10	-13.59	535.411	0.98	0.236	0.313
1407	CNPY2	13.588	535.411	0.98	0.236	0.313
1408	DDRGK1	-13.59	535.411	0.98	0.236	0.313
1409	DNAH6	-13.59	535.411	0.98	0.236	0.313
1410	DNAJC13	-13.602	535.411	0.98	0.236	0.313
1411	FAM149B1	13.585	535.411	0.98	0.236	0.313
1412	FAM161A	-13.593	535.411	0.98	0.236	0.313
1413	FAM178A	-13.587	535.411	0.98	0.236	0.313
1414	FAM184B	-13.593	535.411	0.98	0.236	0.313
1415	FAM65A	-6.795	267.706	0.98	0.236	0.313
1416	FANCD2	13.586	535.411	0.98	0.236	0.313
1417	GOLGA1	13.586	535.411	0.98	0.236	0.313
1418	GPR128	-13.592	535.411	0.98	0.236	0.313
1419	HCFC1	0.715	0.621	0.25	0.236	0.24
1420	HINFP	13.585	535.411	0.98	0.236	0.313
1421	IFNAR1	-13.59	535.411	0.98	0.236	0.313
1422	IPCEF1	-13.602	535.411	0.98	0.236	0.313
1423	IPO8	-13.593	535.411	0.98	0.236	0.313
1424	IQGAP1	-13.587	535.411	0.98	0.236	0.313
1425	KRBOX4	-13.585	535.411	0.98	0.236	0.313
1426	LRP10	13.585	535.411	0.98	0.236	0.313
1427	NEDD9	13.591	535.411	0.98	0.236	0.312
1428	NF1	13.588	535.411	0.98	0.236	0.313
1429	OBSL1	13.593	535.411	0.98	0.236	0.312
1430	OOSP2	13.588	535.411	0.98	0.236	0.313
1431	OR3A1	-13.59	535.411	0.98	0.236	0.313
1432	OS9	13.591	535.411	0.98	0.236	0.312
